,lon,lat,mcc,range,net,cell,averageSignal
11367,11.6015,48.1893,262,1598,1,56502,-119
11368,11.6306,48.0762,262,3743,1,49682,-86
11369,11.577,48.1097,262,1150,1,30805,-86
11370,11.5266,48.1306,262,1537,1,7742,-109
11371,11.5353,48.1109,262,2041,1,5715,-85
11372,11.5388,48.1108,262,1125,1,30580,-114
11373,11.5304,48.1063,262,2299,1,5714,-67
11380,11.6191,48.1343,262,5396,1,51172,-95
11381,11.6185,48.1315,262,5478,1,5716,-60
11382,11.6148,48.1265,262,6589,1,5717,-87
11387,11.6462,48.1052,262,4029,1,34552,-82
11388,11.6039,48.0621,262,7874,1,48844,-96
11390,11.6909,48.0731,262,3768,1,30690,-86
11439,11.5433,48.1038,262,1023,1,30465,-87
11450,11.555,48.1335,262,2720,1,30705,-80
11452,11.4614,48.1806,262,2797,1,27625,-54
11453,11.5456,48.1027,262,1526,1,17979,-61
11455,11.5474,48.1074,262,1219,1,17987,-54
11459,11.5331,48.1332,262,1562,1,33247,-105
11460,11.5282,48.1331,262,2573,1,53412,-86
11461,11.5315,48.141,262,1182,1,53007,-82
11464,11.5235,48.127,262,744,1,7745,-119
11465,11.5206,48.1238,262,3036,1,65395,-96
11466,11.5352,48.1463,262,1223,1,26228,-53
11471,11.4931,48.0705,262,3369,1,5896,-90
11478,11.5277,48.1427,262,1224,1,53481,-87
11479,11.5364,48.1424,262,1301,1,53006,-94
11480,11.5304,48.146,262,2146,1,27416,-88
11481,11.5379,48.1415,262,2245,1,30574,-78
11482,11.5279,48.144,262,4866,1,30578,-84
11515,11.5373,48.1557,262,796,1,7786,-70
11516,11.5375,48.1595,262,856,1,7772,-80
11520,11.5033,48.1267,262,1660,1,30663,-85
11529,11.5128,48.0939,262,3249,1,29477,-105
11534,11.5302,48.1046,262,1171,1,30582,-86
11539,11.5199,48.1069,262,1555,1,27552,-115
11546,11.519,48.109,262,2635,1,17835,-100
11547,11.5173,48.113,262,1134,1,30290,-86
11548,11.5125,48.1075,262,1529,1,30289,-89
11549,11.5145,48.1229,262,1398,1,30665,-84
11552,11.5046,48.1241,262,1917,1,30662,-103
11560,11.5107,48.1261,262,1830,1,30661,-86
11561,11.5196,48.1232,262,500,1,24680,-78
11564,11.5969,48.1507,262,2253,1,27342,-81
11570,11.5875,48.1771,262,1306,1,39198,-84
11571,11.5911,48.1766,262,2177,1,27397,-94
11572,11.5935,48.1653,262,3106,1,27399,-78
11578,11.7114,48.0745,262,2659,1,9859,-90
11596,11.5809,48.1061,262,1270,1,30803,-120
11597,11.5716,48.0936,262,1809,1,49796,-62
11605,11.6643,48.0629,262,1902,1,5748,-119
11606,11.6273,48.0676,262,4405,1,28480,-85
11614,11.6307,48.2369,262,2475,1,26857,-66
11615,11.6352,48.2319,262,4508,1,4863,-85
11634,11.5186,48.1112,262,1056,1,30288,-105
11635,11.61,48.1256,262,1249,1,58191,-113
11637,11.6198,48.1219,262,3500,1,58188,-84
11664,11.7043,48.188,262,3740,1,49816,-112
11665,11.7047,48.1894,262,3664,1,49661,-70
11690,11.4388,48.2324,262,26943,1,40129,-83
11695,11.5365,48.1548,262,2202,1,51237,-64
11699,11.4829,48.1646,262,1775,1,25156,-87
11706,11.5413,48.2243,262,9036,1,56689,-89
11707,11.5494,48.2253,262,9620,1,26621,-72
11713,11.6196,48.1115,262,4265,1,32982,-56
11714,11.6165,48.1161,262,5998,1,62961,-72
11715,11.7206,48.0829,262,3151,1,19035,-80
11721,11.675,48.1759,262,5891,1,26920,-87
11722,11.6754,48.1977,262,1481,1,56884,-99
11723,11.6782,48.2009,262,3508,1,16285,-85
11730,11.6088,48.1551,262,9257,1,27298,-86
11731,11.5976,48.1584,262,1499,1,25441,-83
11796,11.6432,48.213,262,2349,1,56890,-115
11798,11.527,48.2209,262,3972,1,25866,-67
11800,11.6121,48.243,262,3793,1,26159,-85
11801,11.5953,48.2277,262,2840,1,27641,-99
11803,11.5659,48.2272,262,1287,1,25851,-117
11824,11.6785,48.2211,262,5000,1,61620,-105
11829,11.6464,48.2111,262,2600,1,23045,-88
11830,11.6636,48.2037,262,2983,1,4434,-77
11836,11.5556,48.2114,262,6358,1,5769,-90
11837,11.5798,48.2171,262,4563,1,20380,-89
11838,11.6606,48.2039,262,3203,1,4435,-84
11839,11.6668,48.2021,262,3714,1,21532,-90
11840,11.6833,48.1958,262,2360,1,26916,-90
11843,11.6533,48.2043,262,2569,1,46408,-102
11844,11.6526,48.1946,262,4074,1,49414,-107
11845,11.6653,48.2028,262,3160,1,5821,-82
11854,11.6822,48.1961,262,2365,1,46405,-120
11863,11.6072,48.1851,262,2288,1,32867,-51
11889,11.5559,48.1756,262,4140,1,7894,-88
11964,11.5613,48.1739,262,1958,1,7889,-97
11965,11.5624,48.1757,262,2020,1,7874,-94
11980,11.6201,48.1346,262,6847,1,26952,-116
11982,11.6087,48.1418,262,2122,1,11534,-67
12004,11.5881,48.137,262,2670,1,21362,-105
12011,11.5893,48.1477,262,4619,1,30635,-80
12034,11.6183,48.0841,262,1577,1,26957,-88
12035,11.6258,48.0835,262,1141,1,49741,-97
