,lon,lat,mcc,range,net,cell,averageSignal
38306,11.5642,48.1129,262,500,1,34809601,-118
38307,11.5916,48.1302,262,2527,1,29455360,-90
38308,11.5864,48.1333,262,590,1,29455362,-61
38310,11.48,48.1616,262,6067,1,26504961,-96
38311,11.4798,48.1656,262,5297,1,26504960,-84
38315,11.603,48.1258,262,5130,1,29464836,-80
38319,11.5033,48.0859,262,885,1,27060993,-87
38322,11.475,48.1741,262,7032,1,26504962,-69
38329,11.5791,48.1283,262,1053,1,25989122,-85
38330,11.5186,48.1519,262,2605,1,30923776,-77
38331,11.513,48.1812,262,695,1,26529536,-88
38332,11.5023,48.0906,262,1125,1,27060994,-78
38333,11.4243,48.1779,262,5517,1,30086401,-84
38339,11.5276,48.1371,262,8122,1,30209794,-84
38350,11.423,48.148,262,1000,1,26961664,-69
38360,11.5554,48.1224,262,5240,1,27266816,-62
38368,11.5199,48.1362,262,3022,1,26503685,-95
38383,11.5105,48.1797,262,5981,1,26529537,-89
38419,11.397,48.1523,262,4315,1,32078080,-82
38433,11.4298,48.1252,262,6836,1,30576898,-98
38434,11.4534,48.1244,262,5043,1,30576896,-88
38486,11.6087,48.1196,262,1000,1,30349568,-52
38487,11.6125,48.1263,262,1179,1,26525696,-81
38490,11.5301,48.1313,262,1000,1,26527236,-83
38511,11.6601,48.0663,262,2493,1,30205186,-107
38512,11.6651,48.0664,262,1000,1,30205184,-120
38514,11.6212,48.1293,262,1000,1,34091009,-84
38530,11.5674,48.1456,262,500,1,34381312,-80
38557,11.5573,48.1166,262,1000,1,34553857,-119
38576,11.4075,48.1549,262,16635,1,28072193,-95
38582,11.5046,48.1443,262,8169,1,34362624,-109
38584,11.4971,48.1455,262,7836,1,34362626,-87
38602,11.5124,48.0955,262,1000,1,27175424,-86
38690,11.5309,48.1352,262,7867,1,30209793,-77
38722,11.4693,48.1358,262,2135,1,29138433,-75
38743,11.6266,48.1297,262,1000,1,34091008,-53
38744,11.5475,48.1084,262,500,1,30213889,-88
38746,11.5603,48.1196,262,4984,1,34553856,-90
38779,11.6114,48.1284,262,3940,1,26522114,-74
38792,11.6217,48.1969,262,1000,1,33603329,-84
38797,11.6039,48.1295,262,1000,1,29464834,-113
38803,11.4754,48.1054,262,1000,1,26509057,-100
38804,11.5829,48.1266,262,1000,1,25989121,-119
38835,11.6149,48.1275,262,2002,1,26522112,-82
38840,11.5972,48.1631,262,1000,1,26504195,-83
38886,11.5495,48.142,262,6763,1,35212033,-89
38887,11.5606,48.1469,262,1861,1,34381313,-94
38933,11.483,48.1147,262,1000,1,52746,-52
38940,11.6474,48.0948,262,1000,1,26524674,-78
38945,11.564,48.1533,262,1000,1,34809345,-58
38948,11.6355,48.1321,262,5578,1,35214850,-87
39000,11.5091,48.0894,262,1341,1,27060992,-51
39043,11.5926,48.1149,262,1296,1,27171332,-101
39172,11.5966,48.0804,262,1007,1,32639233,-84
39241,11.5608,48.1404,262,8270,1,35212034,-103
39244,11.5663,48.1387,262,7109,1,34243328,-77
39245,11.5671,48.1325,262,7456,1,34243329,-83
39250,11.6128,48.1341,262,4361,1,35214338,-81
39251,11.5992,48.1175,262,5583,1,35214848,-88
39252,11.6169,48.1345,262,4172,1,35214849,-87
39443,11.5858,48.1806,262,1000,1,33976578,-56
39444,11.5799,48.1662,262,2059,1,35214080,-89
39449,11.5592,48.1407,262,1000,1,34037763,-86
39455,11.5596,48.1262,262,4829,1,33975553,-81
39460,11.5555,48.1405,262,8665,1,34242561,-95
39481,11.6934,48.1948,262,9093,1,36716801,-114
39482,11.7197,48.184,262,6865,1,36716800,-95
39900,11.5548,48.1146,262,1448,1,2615,-112
39974,11.4299,48.1752,262,2325,1,1411,-88
40034,11.5592,48.1374,262,6685,1,34242816,-56
40035,11.5783,48.1395,262,6973,1,35213313,-65
40036,11.6108,48.1262,262,1000,1,26522113,-115
40150,11.4211,48.1752,262,3952,1,1032,-78
40413,11.6796,48.1972,262,2675,1,4815,-79
40462,11.6436,48.1952,262,5098,1,4817,-94
40519,11.3931,48.1419,262,6450,1,1205,-67
40537,11.6161,48.2223,262,2914,1,4490,-93
40572,11.537,48.1251,262,2212,1,27052289,-52
40621,11.5384,48.131,262,6316,1,27052290,-58
40792,11.5483,48.1281,262,5619,1,27052288,-87
40829,11.4266,48.1588,262,1000,1,32997121,-88
40830,11.3927,48.1609,262,2043,1,30058754,-61
40875,11.5526,48.1552,262,782,1,34808322,-82
40876,11.5602,48.1497,262,3750,1,34808320,-98
40884,11.4022,48.1301,262,2160,1,1204,-62
40887,11.3954,48.144,262,1380,1,974,-59
41263,11.4801,48.0889,262,2531,1,36758,-97
41557,11.6159,48.1307,262,1654,1,34803970,-118
41558,11.6184,48.1306,262,1000,1,34803968,-103
41868,11.5586,48.1406,262,1000,1,34037760,-85
41869,11.5572,48.1408,262,1000,1,34037761,-82
42127,11.4966,48.1451,262,946,1,27159040,-87
42128,11.4897,48.1459,262,6397,1,27159041,-101
42177,11.4995,48.1131,262,2016,1,35215873,-62
42178,11.5093,48.1218,262,5205,1,35212800,-81
42190,11.4388,48.1011,262,1918,1,27017473,-86
42254,11.443,48.0877,262,1924,1,32687104,-72
42257,11.6576,48.132,262,1037,1,35215104,-90
42366,11.5837,48.1412,262,2385,1,25985286,-77
42465,11.5903,48.1773,262,2890,1,7900,-98
42499,11.584,48.1516,262,3554,1,35212032,-103
42500,11.5178,48.1346,262,4384,1,35212290,-85
42569,11.6085,48.1861,262,9667,1,7898,-90
43555,11.5862,48.1329,262,1769,1,29455365,-88
45619,11.4532,48.1636,262,3092,1,110,-80
46510,11.4321,48.1787,262,6596,1,980,-72
46718,11.5795,48.1348,262,1000,1,30388485,-85
47824,11.5302,48.1306,262,1289,1,6678,-85
47915,11.4276,48.1333,262,14635,1,8130,-67
47950,11.4316,48.1561,262,11677,1,8131,-120
48067,11.4851,48.1511,262,5361,1,27159042,-81
48927,11.5377,48.1615,262,592,1,6680,-87
49262,11.5356,48.1648,262,1912,1,6682,-101
49432,11.5363,48.1573,262,2923,1,6681,-87
49558,11.5477,48.1416,262,1595,1,37400330,-95
50640,11.6147,48.1301,262,3347,1,5484,-87
51204,11.5947,48.0978,262,2637,1,8315,-54
51219,11.6024,48.1836,262,9297,1,38272768,-98
51220,11.5536,48.142,262,1000,1,37400329,-88
51288,11.5435,48.1422,262,26680,1,37400324,-79
51289,11.606,48.1076,262,2723,1,5520,-58
52097,11.4006,48.1361,262,1857,1,58774,-87
52105,11.4035,48.1291,262,2049,1,58726,-84
52149,11.4598,48.1497,262,1000,1,28083206,-120
52151,11.4509,48.1523,262,1000,1,28083207,-90
52242,11.4731,48.1199,262,4323,1,1125,-87
52243,11.4112,48.1399,262,2417,1,2123,-54
52385,11.6248,48.1364,262,2471,1,40002566,-69
52542,11.5875,48.162,262,2411,1,35211265,-58
52704,11.5667,48.1477,262,3264,1,34379777,-85
53462,11.6164,48.1337,262,1526,1,40002567,-88
54758,11.5465,48.1415,262,26904,1,37400323,-110
55031,11.5106,48.0871,262,18286,1,14945,-81
55200,11.3768,48.166,262,1568,1,30206214,-80
55294,11.6336,48.1295,262,2146,1,37872898,-88
55298,11.6223,48.106,262,1862,1,27122694,-88
55334,11.5988,48.1033,262,1000,1,39990530,-90
55360,11.5577,48.1436,262,1000,1,40241670,-82
55361,11.5587,48.1475,262,1000,1,38604288,-94
55365,11.6159,48.128,262,1000,1,34803969,-57
55761,11.592,48.1703,262,2787,1,4376,-53
55971,11.5973,48.1791,262,2520,1,4377,-86
56208,11.6116,48.1802,262,9311,1,4375,-89
56354,11.7058,48.0614,262,1000,1,32672263,-81
56760,11.5298,48.0992,262,795,1,8414,-101
56761,11.5722,48.1625,262,1160,1,6758,-102
56895,11.5288,48.1033,262,1203,1,8415,-92
56948,11.6159,48.1976,262,3118,1,8096,-103
56971,11.6333,48.2081,262,2231,1,8091,-85
57662,11.6706,48.1251,262,1000,1,41310982,-104
57663,11.6702,48.1244,262,1000,1,41310984,-56
58473,11.4101,48.1281,262,6690,1,40105479,-78
58663,11.6283,48.0735,262,3363,1,12758,-82
58810,11.6233,48.2067,262,1149,1,41042441,-57
58811,11.5587,48.1444,262,1000,1,40241664,-87
59358,11.5399,48.2254,262,5890,1,7428,-90
59491,11.6186,48.1992,262,868,1,41042442,-61
59531,11.4184,48.1692,262,1617,1,6757,-84
59596,11.4404,48.1621,262,2340,1,6755,-108
59687,11.4337,48.1874,262,2215,1,1738,-103
59816,11.5876,48.0977,262,2252,1,2285,-86
59940,11.5947,48.0891,262,2883,1,58177,-105
60095,11.6097,48.154,262,2861,1,4253,-61
60098,11.6148,48.136,262,7559,1,4250,-83
60102,11.6548,48.1275,262,7662,1,9562,-83
60324,11.6187,48.1214,262,2297,1,9620,-84
60325,11.6174,48.1269,262,4914,1,8690,-58
60326,11.6043,48.159,262,1592,1,9218,-114
60724,11.6273,48.0718,262,969,1,36782848,-62
60772,11.615,48.1516,262,1809,1,9215,-94
61008,11.4249,48.1686,262,2300,1,7932,-105
61035,11.5822,48.101,262,3130,1,8964,-87
61133,11.3658,48.1149,262,1445,1,9060,-84
61260,11.4081,48.1567,262,1000,1,41320967,-92
61261,11.4974,48.1455,262,1540,1,30923781,-73
61453,11.3804,48.1207,262,14533,1,9058,-79
61457,11.3924,48.1229,262,2079,1,9059,-86
61828,11.6206,48.2179,262,3120,1,10440,-81
62145,11.6002,48.1072,262,1610,1,39990528,-95
62343,11.3688,48.1134,262,3915,1,40105479,-89
62550,11.6147,48.1342,262,1034,1,40002573,-78
62555,11.6673,48.1773,262,1644,1,34805509,-51
62614,11.402,48.146,262,2076,1,15599,-87
62615,11.4281,48.1639,262,3844,1,15598,-108
62710,11.5374,48.1749,262,3924,1,35214337,-89
62835,11.4245,48.1653,262,2098,1,14950,-95
63019,11.3947,48.1536,262,15673,1,41811975,-81
63035,11.5116,48.1716,262,1000,1,27322634,-81
63036,11.5518,48.1735,262,1000,1,27273472,-98
63041,11.5561,48.175,262,1000,1,27273478,-80
63060,11.4951,48.1443,262,23091,1,34362627,-77
63146,11.6063,48.1565,262,1000,1,43568896,-93
63147,11.6186,48.1564,262,1000,1,41111819,-90
63148,11.6157,48.1508,262,1578,1,41111818,-83
63406,11.4493,48.2017,262,3736,1,3720,-88
63407,11.4775,48.2331,262,2555,1,3713,-83
63533,11.5698,48.0956,262,2371,1,8966,-103
64878,11.5025,48.1177,262,967,1,43873025,-82
64879,11.5024,48.1059,262,535,1,43845378,-103
64880,11.5031,48.1006,262,997,1,43845377,-78
64881,11.508,48.0984,262,3415,1,43956738,-97
64884,11.4981,48.1249,262,688,1,43831297,-101
64885,11.4967,48.1256,262,2464,1,43831298,-92
64886,11.5026,48.1225,262,1230,1,43873026,-87
64887,11.5024,48.1143,262,2143,1,43960578,-98
64888,11.5024,48.1117,262,2432,1,43960577,-87
64889,11.5123,48.1018,262,3608,1,43956736,-68
65026,11.5119,48.1561,262,1000,1,43826176,-83
65027,11.5916,48.1309,262,1000,1,44128770,-83
65028,11.5935,48.129,262,1000,1,44128769,-74
65082,11.5963,48.1577,262,2582,1,16988,-82
65337,11.509,48.1252,262,1506,1,43831296,-81
65338,11.5182,48.1241,262,1000,1,43818498,-58
65339,11.5184,48.1209,262,1000,1,43818497,-85
65340,11.5363,48.1114,262,1727,1,43862016,-86
65341,11.5678,48.1126,262,883,1,43950594,-94
65342,11.5712,48.1119,262,500,1,43950592,-71
65343,11.5787,48.1076,262,500,1,43933954,-79
65344,11.5826,48.1042,262,500,1,43933952,-82
65345,11.5792,48.1048,262,805,1,43933953,-59
65346,11.6174,48.0867,262,1086,1,43914241,-98
65347,11.6161,48.091,262,1192,1,43914242,-78
65348,11.6059,48.1032,262,1000,1,43922177,-54
65349,11.6096,48.1053,262,1000,1,43922176,-77
65350,11.6137,48.1069,262,866,1,43923969,-87
65351,11.643,48.1015,262,1000,1,43923714,-77
65352,11.6525,48.109,262,1000,1,43919361,-69
65353,11.62,48.1207,262,1000,1,41344263,-80
65354,11.6192,48.1254,262,1000,1,41344264,-75
65355,11.6221,48.1341,262,1410,1,43921408,-118
65356,11.6156,48.1342,262,1762,1,43921410,-87
65357,11.6146,48.1535,262,3584,1,43924736,-57
65358,11.6002,48.1608,262,1000,1,27032839,-77
65359,11.5989,48.1609,262,765,1,43870977,-77
65360,11.5959,48.1645,262,500,1,43870978,-86
65361,11.5837,48.1774,262,1165,1,43877120,-88
65362,11.5323,48.1773,262,3996,1,43881216,-81
65363,11.5212,48.1753,262,1000,1,43881217,-59
65364,11.5123,48.1726,262,1000,1,43888384,-103
65365,11.5106,48.1689,262,1215,1,43821056,-96
65366,11.5063,48.1588,262,1000,1,43826178,-71
65460,11.6017,48.1349,262,1000,1,43932418,-85
65461,11.6054,48.1359,262,1000,1,43932416,-104
65480,11.6158,48.1314,262,1000,1,43921409,-112
66477,11.6074,48.1034,262,2590,1,6444,-90
66828,11.5876,48.0953,262,2820,1,6445,-79
66829,11.5823,48.1089,262,4535,1,6446,-95
67262,11.5818,48.1805,262,1349,1,18982,-78
67401,11.5957,48.1353,262,2026,1,16987,-67
67427,11.6161,48.1335,262,1035,1,8387,-116
67428,11.6176,48.128,262,1373,1,8386,-84
68057,11.5333,48.0991,262,1327,1,18464,-90
68334,11.5461,48.1021,262,1368,1,18463,-78
68800,11.6344,48.2315,262,1228,1,30232577,-71
68801,11.6288,48.2202,262,914,1,31101952,-82
68802,11.6169,48.1978,262,1000,1,43828224,-58
68803,11.6153,48.1924,262,547,1,43885826,-85
68804,11.599,48.1819,262,1000,1,43863810,-102
68805,11.5975,48.1805,262,509,1,44896002,-98
68806,11.5948,48.1779,262,500,1,44896001,-85
69042,11.5392,48.1064,262,1463,1,18465,-81
69148,11.5405,48.1574,262,3380,1,8423,-88
69274,11.5215,48.1244,262,1000,1,43818496,-83
69275,11.5208,48.1198,262,4448,1,45196544,-99
69276,11.5243,48.1103,262,1275,1,45196545,-78
69277,11.5433,48.112,262,2646,1,42163714,-103
69278,11.555,48.1129,262,2866,1,43892736,-112
69279,11.5864,48.1052,262,736,1,38605058,-105
69280,11.5924,48.1058,262,1000,1,38605056,-104
69621,11.5481,48.1116,262,1000,1,42163712,-61
69622,11.5523,48.1124,262,1000,1,43892738,-102
69623,11.5509,48.1082,262,1000,1,43892737,-92
69624,11.5129,48.1246,262,1274,1,43871489,-82
69633,11.528,48.1388,262,1000,1,30209806,-82
69634,11.5288,48.1346,262,1000,1,30209805,-81
69668,11.4125,48.1264,262,7241,1,44009218,-88
69669,11.4119,48.123,262,7340,1,44009217,-97
69670,11.448,48.1243,262,5428,1,43845634,-52
69671,11.47,48.1242,262,5970,1,43845632,-115
69672,11.4816,48.1239,262,4751,1,43820034,-79
69673,11.4866,48.1249,262,5533,1,43831297,-68
69726,11.5017,48.1446,262,1000,1,30923786,-88
70209,11.5993,48.1708,262,1000,1,45564928,-95
70210,11.5972,48.1674,262,500,1,45183744,-119
70211,11.6159,48.1502,262,1000,1,41112072,-86
70212,11.6187,48.1573,262,1000,1,41111810,-115
70213,11.6158,48.1505,262,1000,1,41111809,-100
70214,11.5408,48.1804,262,1467,1,43881729,-99
70402,11.6311,48.2218,262,4541,1,44892416,-105
70599,11.5207,48.1103,262,1246,1,43842048,-54
70624,11.5966,48.0667,262,1276,1,43744768,-77
70625,11.5976,48.0765,262,783,1,43744769,-88
70626,11.5906,48.0909,262,725,1,44806401,-89
70627,11.5864,48.0967,262,677,1,44806400,-72
70628,11.5847,48.1001,262,6116,1,38605057,-74
70629,11.4819,48.1237,262,856,1,43845632,-79
70630,11.4701,48.1238,262,896,1,43845634,-117
70631,11.4549,48.1253,262,1590,1,30576896,-73
70632,11.4431,48.1273,262,956,1,30576898,-79
70633,11.4408,48.1273,262,6471,1,30576910,-79
70634,11.4224,48.1296,262,1243,1,44009218,-69
70635,11.414,48.1296,262,2325,1,40105479,-94
70636,11.4021,48.1287,262,1460,1,30230016,-66
70637,11.3943,48.1197,262,1348,1,30230017,-88
70638,11.3845,48.1172,262,1143,1,40371978,-77
70639,11.3742,48.1168,262,1153,1,40371979,-69
70641,11.3726,48.117,262,5478,1,40371970,-79
70778,11.5287,48.1886,262,500,1,43818752,-90
70779,11.5434,48.1764,262,1009,1,27273474,-100
71012,11.3759,48.1147,262,5839,1,40371978,-79
71033,11.5472,48.2241,262,6163,1,44567297,-100
71044,11.6592,48.2035,262,1034,1,32646401,-89
71045,11.6439,48.2125,262,1054,1,43874304,-73
71046,11.6774,48.197,262,1236,1,32646400,-84
71047,11.6961,48.1924,262,1808,1,36716801,-84
71048,11.7195,48.1844,262,1062,1,36716800,-58
71053,11.7078,48.0627,262,4549,1,44401664,-88
71054,11.631,48.1705,262,1000,1,44128258,-99
71055,11.6293,48.1673,262,1000,1,44128257,-89
71056,11.6377,48.1687,262,1000,1,44128256,-89
71057,11.6312,48.1515,262,1599,1,43959040,-88
71058,11.5887,48.1587,262,1000,1,43876096,-82
71227,11.5359,48.1378,262,3340,1,43844864,-98
71228,11.5224,48.1265,262,1000,1,43871488,-87
71412,11.5075,48.1376,262,1000,1,43872514,-92
71450,11.537,48.1059,262,1000,1,43825665,-69
71468,11.4806,48.089,262,1000,1,28079876,-84
71560,11.4796,48.0884,262,1000,1,43935237,-86
71561,11.4754,48.0891,262,1000,1,43935240,-69
71562,11.467,48.087,262,1000,1,43979777,-65
71584,11.6072,48.1163,262,1000,1,43932160,-95
71585,11.6298,48.1385,262,1000,1,43958784,-110
71586,11.6714,48.1395,262,1000,1,43959810,-67
71587,11.676,48.1374,262,1000,1,43959808,-83
71588,11.6786,48.1375,262,1000,1,43949313,-59
71589,11.6713,48.1336,262,1554,1,44901376,-54
71609,11.607,48.1853,262,1000,1,38272774,-82
71857,11.3606,48.2262,262,1508,1,26285569,-82
71858,11.4306,48.1817,262,1869,1,28085506,-73
71859,11.4562,48.1648,262,5269,1,43869696,-97
71865,11.4617,48.1648,262,1000,1,45116930,-64
71866,11.4361,48.1612,262,1434,1,43899136,-82
71867,11.4374,48.1949,262,1414,1,30086401,-101
71868,11.4444,48.204,262,654,1,30086400,-77
71869,11.4665,48.2087,262,1332,1,44216320,-71
71870,11.4786,48.2089,262,931,1,26508545,-85
71871,11.4877,48.2099,262,764,1,26508544,-86
71872,11.5012,48.214,262,805,1,43847938,-104
71873,11.5281,48.2241,262,928,1,43885313,-82
71874,11.5413,48.2283,262,859,1,43885312,-117
71875,11.5387,48.2367,262,1092,1,43885314,-88
71883,11.6912,48.2416,262,1465,1,44399616,-83
71884,11.6858,48.2365,262,1673,1,44398080,-62
71885,11.681,48.2389,262,1702,1,44398082,-109
71887,11.4101,48.1636,262,8046,1,45196288,-77
71888,11.4013,48.1575,262,1982,1,43892224,-83
71889,11.3997,48.1559,262,1262,1,43892225,-62
71978,11.5365,48.1202,262,1000,1,43896321,-79
72091,11.6907,48.1936,262,1000,1,36716803,-115
72315,11.6125,48.1534,262,1000,1,30350855,-88
72332,11.4542,48.1216,262,2947,1,9691,-88
72406,11.4587,48.1472,262,1000,1,43883522,-85
72407,11.4477,48.15,262,3498,1,43879424,-90
72408,11.4428,48.1476,262,1000,1,43879425,-95
72409,11.4406,48.1454,262,1000,1,43893504,-93
72410,11.4308,48.1428,262,1056,1,43847680,-82
72411,11.4247,48.1425,262,1000,1,43847682,-85
72825,11.4331,48.1277,262,1000,1,44009217,-98
72826,11.4775,48.1171,262,1000,1,37361410,-77
72827,11.4781,48.1195,262,1000,1,43845633,-72
72828,11.4769,48.1144,262,1000,1,37361408,-86
72940,11.6162,48.0676,262,1000,1,43724034,-82
73121,11.4502,48.1631,262,1000,1,43869697,-87
73122,11.4267,48.1691,262,3180,1,43899138,-82
73167,11.3896,48.1864,262,1000,1,44037890,-70
73168,11.394,48.184,262,1000,1,44037888,-90
73169,11.4121,48.1897,262,1845,1,45241858,-85
73170,11.4853,48.1641,262,1000,1,43860225,-73
73171,11.4921,48.1653,262,1000,1,43860224,-73
73172,11.4963,48.1711,262,1000,1,43821058,-86
73173,11.5007,48.1613,262,1000,1,43821057,-85
73181,11.4852,48.1237,262,3246,1,43820034,-105
73182,11.4893,48.1238,262,2949,1,43819777,-83
73393,11.6022,48.2282,262,1346,1,44568576,-99
73394,11.5909,48.2286,262,1217,1,44568577,-62
73395,11.5558,48.2268,262,694,1,44567297,-85
73396,11.4561,48.2205,262,1441,1,44803329,-102
73397,11.4694,48.2096,262,4292,1,43896064,-80
73398,11.4231,48.2266,262,7453,1,37112833,-85
73399,11.4159,48.2052,262,1312,1,44454656,-84
73400,11.4238,48.2258,262,7396,1,37112836,-114
73401,11.3931,48.2076,262,1000,1,44454658,-85
73402,11.3837,48.2139,262,9034,1,30231552,-81
73498,11.5858,48.1208,262,4050,1,43961857,-58
73499,11.6317,48.0827,262,5193,1,32639244,-87
73938,11.6165,48.114,262,1000,1,43923970,-99
73939,11.5956,48.1774,262,1000,1,40901633,-109
73967,11.6173,48.1263,262,1000,1,41344270,-82
74039,11.5564,48.1318,262,1000,1,42104582,-88
74411,11.677,48.0717,262,4696,1,1085,-77
74445,11.6824,48.0645,262,3355,1,869,-85
74464,11.3646,48.1138,262,1962,1,3,-97
74488,11.4493,48.2094,262,6527,1,44216320,-115
74939,11.5547,48.1176,262,2108,1,16098,-84
76404,11.5575,48.1147,262,1574,1,21603,-69
76928,11.397,48.2075,262,1741,1,44454666,-114
76930,11.4172,48.1777,262,1432,1,45241856,-102
76931,11.4388,48.1275,262,1000,1,43771138,-79
76932,11.5075,48.0972,262,1000,1,45565184,-66
77078,11.5331,48.1752,262,4843,1,5459,-68
77079,11.5351,48.1659,262,3463,1,5458,-112
77222,11.408,48.1395,262,799,1,40105480,-86
77229,11.3885,48.1352,262,1000,1,30230030,-62
77234,11.5393,48.1736,262,723,1,5457,-89
77371,11.5433,48.1112,262,1760,1,21604,-53
77444,11.6295,48.1347,262,1000,1,43958785,-86
77445,11.4816,48.1584,262,3203,1,43641344,-54
77446,11.4782,48.1822,262,7357,1,44801793,-83
77447,11.4547,48.2242,262,9949,1,44803328,-120
77448,11.4505,48.2314,262,1110,1,44803330,-80
77449,11.4337,48.2311,262,1426,1,37112835,-75
77450,11.448,48.2364,262,1000,1,29913094,-119
77451,11.4435,48.2383,262,2854,1,27129345,-95
77576,11.7214,48.0706,262,7655,1,44392961,-81
77592,11.5523,48.1107,262,1000,1,30213888,-84
77595,11.6396,48.0619,262,1524,1,18014,-70
77838,11.3973,48.1384,262,1401,1,43819265,-83
77839,11.3826,48.1321,262,1264,1,44993024,-119
77840,11.3771,48.1376,262,1000,1,40371977,-72
77841,11.3782,48.1426,262,1081,1,43819266,-84
77897,11.5768,48.1774,262,1000,1,43864064,-80
78166,11.6277,48.1378,262,2034,1,40002572,-95
78167,11.6249,48.1341,262,1651,1,34091011,-83
78169,11.6127,48.1312,262,3879,1,44447489,-98
78398,11.6879,48.0714,262,1706,1,737,-83
78426,11.7197,48.0692,262,3438,1,44392961,-88
78621,11.5566,48.1299,262,1000,1,41401096,-90
78622,11.5635,48.1375,262,3611,1,46105088,-79
78623,11.6712,48.1313,262,1000,1,46105090,-92
78624,11.5626,48.139,262,6335,1,46105089,-89
78676,11.6154,48.1471,262,2871,1,45725696,-86
78679,11.5986,48.1318,262,1000,1,44128768,-115
78680,11.6132,48.1535,262,1000,1,43924745,-85
78681,11.5898,48.1647,262,1000,1,45183745,-77
79027,11.5707,48.1702,262,1401,1,43854850,-87
79676,11.4872,48.0809,262,1000,1,43935233,-79
79693,11.6307,48.0814,262,2989,1,16091,-102
79762,11.5022,48.0889,262,1475,1,18415,-54
79802,11.4994,48.0995,262,2577,1,18416,-89
79803,11.4688,48.211,262,24438,1,27967,-77
79804,11.4538,48.2032,262,1655,1,27970,-110
79940,11.4395,48.204,262,2955,1,27971,-86
80474,11.5966,48.1276,262,1000,1,43957762,-111
80668,11.6281,48.0718,262,2111,1,18015,-65
80866,11.5217,48.1441,262,2876,1,4767,-90
81127,11.3984,48.209,262,3918,1,14499,-51
81129,11.5127,48.1421,262,5046,1,4766,-67
81292,11.5417,48.2206,262,1000,1,43890432,-77
81293,11.5228,48.1955,262,1000,1,46794754,-79
81294,11.5205,48.1933,262,1000,1,46794753,-90
81295,11.5194,48.1905,262,500,1,44444672,-77
81296,11.5138,48.1872,262,1525,1,44444673,-58
81297,11.5061,48.1841,262,2865,1,26529538,-78
81298,11.504,48.1783,262,1000,1,43878658,-85
81299,11.4958,48.1713,262,1000,1,43878657,-88
81300,11.4874,48.1655,262,1000,1,30347274,-85
81301,11.4892,48.1667,262,1000,1,43860226,-89
81302,11.5093,48.1437,262,24148,1,42854151,-101
81303,11.5167,48.1436,262,3632,1,42854150,-96
81304,11.5182,48.1431,262,1257,1,42854156,-79
81502,11.6264,48.0892,262,1000,1,43914240,-80
81503,11.624,48.082,262,855,1,44802304,-59
81504,11.6343,48.0809,262,1000,1,27097352,-115
81505,11.6303,48.084,262,829,1,43949057,-113
81506,11.6299,48.0873,262,1000,1,27115270,-81
82754,11.535,48.1431,262,1037,1,7148,-82
82755,11.5361,48.146,262,629,1,7147,-90
83007,11.6886,48.0614,262,1000,1,30212103,-88
83008,11.6914,48.0616,262,1000,1,44483587,-80
83009,11.6857,48.0624,262,1000,1,44483584,-82
83044,11.5291,48.1274,262,1000,1,37392898,-65
83118,11.6789,48.0642,262,1000,1,44483586,-66
83323,11.6314,48.0725,262,4549,1,30231810,-87
83324,11.6344,48.0726,262,5328,1,43711490,-105
83325,11.621,48.0893,262,3872,1,36782848,-69
83326,11.6163,48.0938,262,2793,1,44802304,-81
83327,11.6155,48.0944,262,2705,1,43914241,-102
83328,11.6098,48.1117,262,2532,1,43914242,-78
83329,11.6068,48.1152,262,1064,1,43923970,-105
83330,11.6063,48.1268,262,1000,1,43921409,-88
83556,11.5311,48.1706,262,1000,1,43830528,-85
83557,11.5174,48.178,262,1000,1,43881218,-79
83558,11.5037,48.1872,262,1000,1,43889665,-110
83559,11.5043,48.19,262,1000,1,43889664,-80
83560,11.4996,48.1935,262,1000,1,43889666,-88
83561,11.5093,48.1927,262,2749,1,43881730,-120
83562,11.4904,48.2008,262,712,1,27042048,-93
83563,11.4795,48.2174,262,690,1,26731520,-92
83564,11.478,48.212,262,1120,1,26508546,-113
83565,11.475,48.2219,262,500,1,26731522,-95
83566,11.4784,48.2246,262,500,1,44395009,-80
83567,11.4811,48.229,262,500,1,44395010,-110
83568,11.4781,48.2357,262,1000,1,44393728,-66
83569,11.4719,48.2376,262,1691,1,44393730,-84
83570,11.4668,48.2457,262,2373,1,27129344,-83
83581,11.5218,48.1898,262,1997,1,43818754,-83
83582,11.5268,48.1727,262,1000,1,43830530,-107
83625,11.4479,48.2034,262,10177,1,25158,-114
83877,11.5997,48.1348,262,1000,1,45195008,-88
83891,11.3961,48.1513,262,957,1,43819264,-82
83892,11.4326,48.2044,262,1418,1,30086402,-59
83893,11.3804,48.2133,262,6351,1,45193728,-88
84843,11.3889,48.1918,262,1520,1,30049030,-78
84844,11.377,48.1953,262,2416,1,30049032,-80
85079,11.4868,48.0838,262,2397,1,5143,-86
85189,11.6204,48.1301,262,9377,1,4530,-84
85191,11.4955,48.0913,262,2853,1,4955,-81
85319,11.4803,48.0943,262,2150,1,5173,-75
85910,11.6087,48.1282,262,5407,1,4533,-101
87182,11.5633,48.2269,262,1069,1,44567301,-84
87183,11.5441,48.2274,262,1000,1,43885318,-87
87184,11.4876,48.2091,262,1180,1,43856641,-66
87185,11.4718,48.2097,262,1000,1,43856642,-115
87186,11.414,48.2073,262,1296,1,44454665,-84
87187,11.3713,48.2233,262,2174,1,30231556,-95
87188,11.3646,48.2249,262,7706,1,43600898,-81
88640,11.5558,48.1905,262,1000,1,42067458,-69
